"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Patrick Beverley","LAC","PG,SG","7.6","4.2","3.7","0.3","1.2",".418",".756","1.3","77","25.5","1.2"
"Danny Green","TOR","SG,SF","7.5","2.9","1.5","0.8","0.8",".394",".786","1.7","77","24.4","0.9"
"Stanley Johnson","NOR","SG,SF","7.5","3.4","1.6","0.3","1.2",".373",".759","0.9","79","27.3","1.1"
"Willy Hernangomez","CHA","C","7.5","5.5","1.1","0.4","0.6",".533",".722","0.4","74","16.7","1.0"
"John Henson","CLE","PF,C ","7.5","6.0","1.0","1.3","0.5",".553",".616","0.0","79","22.9","1.0"
"Josh Hart","LAL","SG,SF","7.5","3.2","1.1","0.3","0.6",".482",".722","1.2","78","24.3","0.8"
"Alec Burks","SAC","PG,SG","7.5","3.1","1.0","0.1","0.5",".406",".830","0.7","73","0","1.0"
"Devin Harris","DAL","PG,SG","7.4","1.7","2.1","0.1","0.6",".406",".834","1.0","70","17.6","1.1"
"Shabazz Napier","BKN","PG","7.3","2.0","1.9","0.2","0.8",".407",".814","1.0","78","17.7","1.2"
"Shai Gilgeous-Alexander","LAC","PG","7.3","2.2","3.7","0.3","0.9",".440",".764","0.6","77","25.1","1.7"
"Mike Scott","PHI","PF","7.3","2.8","1.0","0.1","0.2",".472",".742","0.8","71","16.2","0.8"
"Malik Monk","CHA","SG,SF","7.2","1.3","1.8","0.1","0.5",".375",".847","1.2","77","25.9","1.0"
"Nerlens Noel","OKC","PF,C","7.2","5.9","0.8","0.9","1.0",".583",".714","0.0","72","20.7","0.9"
"Anfernee Simons","POR","SG","7.2","2.1","2.4","0.2","0.7",".422",".763","0.6","68","18.2","1.2"
"Kyle Korver","UTH","SG,SF","7.1","1.9","1.1","0.3","0.4",".444",".892","1.7","77","22.9","0.7"
"P.J. Tucker","HOU","SF","7.0","5.8","1.2","0.3","1.4",".416",".720","1.5","82","28.1","0.8"
"Mohamed Bamba","ORL","C ","6.9","5.9","0.8","1.4","0.4",".530",".696","0.1","77","21.6","0.8"
"Denzel Valentine","CHI","SG,SF ","6.9","3.4","2.0","0.1","0.6",".417",".753","1.3","78","22.6","0.9"
"Kyle Anderson","MEM","SG,SF,PF ","6.9","4.8","2.2","0.7","1.2",".489",".733","0.4","78","26.6","1.7"
"Garrett Temple","LAC","SG,SF","6.8","2.2","1.6","0.4","0.9",".412",".774","1.2","77","24.1","1.0"
"Larry Nance Jr.","CLE","PF,C","6.8","5.4","1.2","0.5","1.0",".555",".672","0.1","77","24.8","0.7"
"Jeff Green","WAS","SF,PF","6.8","2.2","0.9","0.2","0.4",".440",".858","0.4","77","18.9","0.7"
"Justin Jackson","DAL","SF","6.8","2.6","1.2","0.2","0.5",".438",".723","0.9","82","0","0.6"
"Dwight Powell","DAL","PF,C","6.8","3.8","2.0","0.4","0.8",".467",".744","0.6","70","26.3","1.0"
"Thabo Sefolosha","UTH","SG,SF","6.7","4.0","1.5","0.5","1.3",".480",".765","0.7","60","19.7","0.8"
"Ersan Ilyasova","MIL","SF,PF","6.7","3.4","0.8","0.2","0.5",".460",".769","0.8","78","20.8","0.6"
"Andre Iguodala","GSW","SG,SF","6.7","3.9","3.1","0.5","1.0",".496",".669","0.7","75","25.7","1.0"
"Jakob Poeltl","SAS","C,PF","6.7","4.9","0.8","1.1","0.6",".592",".607","0.0","79","21.2","1.0"
"Isaiah Canaan","MIN","PG","6.6","1.2","3.2","0.0","0.6",".372",".871","0.7","42","15.7","1.1"
"Zach Collins","POR","PF,C","6.6","4.7","1.2","0.8","0.4",".413",".671","0.6","77","21.4","1.2"
"Elie Okobo","PHO","PG","6.5","1.7","3.0","0.1","0.7",".426",".796","0.8","78","24.7","1.7"
"Derrick White","SAS","PG ","6.5","3.3","1.6","0.6","0.7",".390",".700","0.7","66","0","0.7"
"Mike Muscala","LAL","PF,C ","6.4","3.5","1.1","0.5","0.4",".483",".848","0.9","72","18.7","0.7"
"Nemanja Bjelica","SAC","PF,SF","6.4","3.7","1.2","0.3","0.7",".447",".771","1.1","74","18.9","0.9"
"Luc Mbah a Moute","LAC","SF,PF ","6.4","2.8","0.7","0.5","1.2",".478",".681","0.7","75","25.2","0.9"
"Tyler Ulis","FA","PG,SG ","6.4","3.7","3.3","0.8","0.8",".491",".750","0.2","77","26.7","1.2"
"Pascal Siakam","TOR","PF","6.4","4.1","1.5","0.6","0.6",".506",".660","0.4","79","23.7","0.8"
"Delon Wright","MEM","PG,SG","6.4","2.2","2.6","0.4","1.0",".451",".821","0.8","77","16.9","0.9"
"Chandler Parsons","MEM","SF,PF ","6.3","2.1","1.4","0.2","0.4",".431",".729","1.0","67","19.7","0.8"
"David Nwaba","CLE","SG,SF","6.3","3.2","1.0","0.4","0.6",".501",".652","0.4","77","20.7","0.8"
"Richaun Holmes","PHO","PF,C","6.3","2.7","2.3","0.4","0.7",".401",".801","1.0","67","16.6","0.7"
"James Ennis III","PHI","SG,SF","6.3","3.1","0.8","0.2","0.7",".461",".817","0.8","77","14.1","0.7"
"Jerian Grant","ORL","PG,SG","6.3","1.8","3.6","0.1","0.7",".417",".779","0.7","77","19.9","1.0"
"Zhaire Smith","PHI","SF,SG ","6.3","1.9","1.3","0.2","0.6",".431",".789","0.2","72","20.7","1.1"
"Cameron Payne","FA","PG","6.2","1.9","2.8","0.2","0.6",".408",".765","0.9","72","19.7","1.0"
"Mikal Bridges","PHO","SF","6.2","3.0","1.2","0.3","0.6",".445",".752","0.5","79","21.1","0.6"
"Wayne Ellington","DET","SG,SF","6.2","1.5","0.6","0.1","0.4",".409",".862","1.5","81","19.8","0.4"
"Lance Stephenson","LAL","SG,SF","6.2","3.3","1.5","0.1","0.4",".447",".671","0.6","79","19.7","1.1"
"Shaquille Harrison","CHI","PG,SG","6.1","2.3","2.5","0.3","0.9",".468",".744","0.4","77","18.7","1.2"
"Troy Brown Jr.","WAS","SF","6.0","2.3","1.3","0.2","0.6",".441",".766","0.8","77","21.3","1.0"
"Shelvin Mack","CHA","PG","6.0","1.9","2.7","0.1","0.7",".425",".710","0.6","77","20.7","1.3"
"Aaron Holiday","IND","PG","6.0","1.4","2.5","0.0","0.7",".425",".755","0.7","78","20.9","1.2"
"Doug McDermott","IND","SF","6.0","1.8","0.7","0.1","0.2",".471",".811","0.9","77","21.7","0.5"
"Montrezl Harrell","LAC","PF,C","6.0","4.3","1.4","0.6","0.2",".539",".688","0.2","77","22.9","0.7"
"Cedi Osman","CLE","SF,PF","6.0","2.6","1.0","0.2","0.6",".462",".585","0.8","77","19.7","0.9"
"Brandon Knight","CLE","PG,SG","6.0","0.8","2.1","0.1","0.3",".427",".857","0.8","69","20.6","0.9"
"Amir Johnson","PHI","PF,C","5.9","4.5","1.5","0.8","0.6",".562",".652","0.3","80","19.2","0.9"
"Justin Anderson","ATL","SF,SG","5.9","2.7","0.7","0.2","0.4",".429",".778","0.6","82","0","0.9"
"Andre Roberson","OKC","SG,SF ","5.9","5.0","1.0","0.9","1.1",".500",".412","0.5","54","27.4","0.7"
"Timofey Mozgov","ORL","C ","5.9","3.2","0.5","0.7","0.4",".547",".787","0.2","55","15.1","1.2"
"Moritz Wagner","LAL","PF","5.8","4.1","0.9","0.4","0.2",".467",".769","0.8","70","13.1","1.2"
"Cory Joseph","IND","PG,SG","5.7","2.2","2.1","0.1","0.7",".438",".764","0.5","82","21.3","0.9"
"Thon Maker","DET","PF,C","5.7","3.4","0.6","0.9","0.6",".439",".703","0.6","79","19.9","0.6"
"Omari Spellman","ATL","PF","5.7","2.9","0.6","0.4","0.4",".466",".699","0.7","77","13.8","0.8"
"J.J. Barea","DAL","PG,SG ","5.7","1.4","2.9","0.0","0.3",".449",".755","0.8","78","22.9","1.0"
"Dragan Bender","PHO","PF,C","5.7","3.4","1.4","0.6","0.3",".388",".713","1.3","79","19.9","1.1"
"Marreese Speights","FA","PF,C","5.7","4.9","1.0","0.9","1.1",".501",".459","0.5","52","27.4","0.7"
"Tony Parker","CHA","PG","5.7","1.0","2.2","0.0","0.3",".445",".724","0.3","70","18.1","0.8"
"Ben McLemore","SAC","SG","5.6","1.7","0.9","0.2","0.4",".430",".783","0.5","77","21.6","0.8"
"Jacob Evans","FA","SF","5.6","2.4","0.8","0.2","0.5",".447",".761","0.4","75","14.7","0.5"
"Jalen Brunson","DAL","PG","5.5","1.4","2.3","0.1","0.4",".423",".760","0.9","74","13.4","0.8"
"Yogi Ferrell","SAC","PG,SG","5.5","1.5","1.6","0.1","0.5",".427",".810","0.8","78","19.2","0.7"
"Luke Kornet","NYK","PF,C","5.5","3.5","0.7","0.8","0.3",".482",".731","0.4","75","15.7","0.7"
"Gorgui Dieng","MIN","PF,C ","5.4","4.2","0.9","0.6","0.6",".501",".794","0.2","81","18.9","0.7"
"Jerome Robinson","LAC","SG","5.4","1.4","1.1","0.1","0.6",".421",".741","0.3","74","15.7","0.9"
"Tony Snell","MIL","SG,SF","5.3","1.8","0.9","0.2","0.4",".436",".801","1.0","80","23.4","0.5"
"Patrick Patterson","OKC","PF,C","5.3","3.4","0.9","0.4","0.6",".410",".783","1.1","79","19.7","0.5"
"Anthony Tolliver","MIN","SF,PF","5.3","2.3","0.7","0.2","0.4",".448",".774","1.1","78","18.9","0.5"
"Davis Bertans","SAS","PF,C","5.3","2.2","1.0","0.5","0.3",".421",".811","1.2","79","15.6","0.5"
"Lance Thomas","NYK","SG,SF,PF","5.3","2.9","0.8","0.2","0.5",".381",".836","0.9","82","0","0.6"
"Shaun Livingston","GSW","PG,SG","5.2","1.9","1.7","0.3","0.5",".531",".769","0.0","79","16.7","0.8"
"Pat Connaughton","MIL","SG,SF","5.2","1.9","0.9","0.2","0.3",".461",".834","1.0","76","17.7","0.4"
"Bam Adebayo","MIA","PF,C","5.2","4.3","1.1","0.5","0.4",".516",".708","0.0","79","21.0","0.6"
"Royce O'Neale","UTH","SF","5.1","3.5","1.2","0.3","0.6",".429",".768","0.6","82","0","0.9"
"Tyler Zeller","FA","PF,C","5.1","3.4","0.7","0.5","0.3",".541",".781","0.2","55","13.2","0.6"
"Donte DiVincenzo","MIL","SG ","5.1","1.3","1.6","0.2","0.6",".451",".811","0.6","77","18.9","0.7"
"Tyson Chandler","LAL","C","5.1","6.2","0.8","0.5","0.3",".675",".682","0.0","64","21.7","1.0"
"Ivica Zubac","LAC","C","5.0","3.4","0.7","0.8","0.3",".531",".716","0.0","74","17.5","0.7"
"Jarell Martin","ORL","PF,C","5.0","3.2","0.7","0.4","0.4",".436",".776","0.3","82","0","0.8"
"Trey Lyles","DEN","PF ","5.0","2.4","0.7","0.2","0.2",".473",".712","0.6","78","18.7","0.4"
"Ed Davis","BKN","PF,C","4.9","7.0","0.6","0.7","0.3",".593",".638","0.0","82","0","1.0"
"Darius Miller","NOR","SG,SF ","4.9","1.4","1.0","0.1","0.4",".439",".874","1.1","79","18.9","0.6"
"Alex Abrines","OKC","SG","4.9","1.5","0.4","0.1","0.5",".411",".871","1.1","82","0","0.4"
"Kyle O'Quinn","IND","PF,C","4.9","3.9","1.1","0.8","0.4",".546",".772","0.1","77","15.9","0.7"
"Grayson Allen","UTH","SG","4.9","1.1","0.8","0.1","0.4",".409",".778","0.8","77","14.6","0.5"
"T.J. McConnell","PHI","PG","4.9","2.3","3.8","0.1","1.0",".483",".792","0.2","77","17.0","1.2"
"Andrew Harrison","FA","PG,SG","4.9","1.5","1.7","0.3","0.4",".379",".773","0.5","82","0","0.9"
"Vince Carter","ATL","SG,SF","4.8","2.0","1.6","0.3","0.5",".396",".788","0.8","75","16.6","0.6"
"Jordan Bell","GSW","PF,C","4.8","4.1","1.9","1.0","0.6",".601",".664","0.0","77","26.7","0.9"
"Aron Baynes","BOS","C ","4.8","4.2","0.7","0.5","0.2",".501",".787","0.3","80","16.9","0.7"
"Ian Clark","NOR","PG,SG","4.7","1.1","0.9","0.1","0.3",".450",".782","0.5","79","14.1","0.6"
"Timothe Luwawu-Cabarrot","CHI","SG,SF ","4.7","1.6","0.7","0.1","0.3",".404",".834","0.6","82","0","0.6"
"Ante Zizic","CLE","C","4.6","3.0","0.4","0.7","0.2",".610",".711","0.0","75","15.7","0.6"
"Jon Leuer","DET","PF,C","4.6","2.7","0.5","0.2","0.2",".489",".864","0.5","76","20.1","0.5"
"Bryn Forbes","SAS","PG,SG","4.5","1.1","0.8","0.0","0.3",".387",".703","0.8","82","0","0.3"
"Quinn Cook","GSW","PG","4.5","1.1","1.1","0.0","0.2",".500",".807","0.7","82","0","0.5"
"Kevon Looney","GSW","PF,C,SF","4.5","2.9","0.5","0.7","0.5",".493",".626","0.4","79","19.9","0.5"
"Joakim Noah","MEM","PF,C ","4.4","4.5","1.3","1.0","0.7",".481",".578","0.0","55","16.7","0.9"
"Harry Giles","SAC","PF,C","4.4","2.2","0.6","0.5","0.4",".485",".698","0.1","71","18.7","0.6"
"Tomas Satoransky","WAS","PG,SG","4.4","2.5","1.3","0.2","0.4",".468",".763","0.6","74","18.9","0.6"
"Kosta Koufos","SAC","PF,C","4.4","4.2","0.6","0.4","0.4",".552",".545","0.0","77","19.3","0.5"
"Dorian Finney-Smith","DAL","SF,PF","4.3","2.7","0.9","0.3","0.6",".387",".750","0.7","82","0","0.7"
"Robert Williams","BOS","C,PF","4.3","3.7","0.4","0.7","0.7",".519",".716","0.0","77","16.9","0.7"
"Deyonta Davis","FA","PF,C","4.2","1.9","0.7","0.4","0.2",".521",".729","0.8","79","15.6","0.4"
"Bismack Biyombo","CHA","PF,C","4.1","3.7","0.5","0.8","0.2",".535",".606","0.0","82","22.8","0.7"
"Josh Okogie","MIN","SG","3.9","1.3","1.3","0.2","0.5",".422",".763","0.5","77","19.3","0.9"
"Torrey Craig","DEN","SG,SF","3.9","3.4","0.6","0.4","0.3",".461",".628","0.4","82","0","0.5"
"Henry Ellenson","DET","PF","3.9","2.3","0.4","0.0","0.1",".369",".784","0.6","82","0","0.6"
"Jose Calderon","DET","PG","3.8","1.7","1.8","0.0","0.4",".467",".844","0.6","82","0","0.7"
"Luol Deng","MIN","SF,PF","3.8","2.6","0.7","0.2","0.5",".403",".731","0.4","82","0","0.3"
"DeAndre' Bembry","ATL","SF,PF","3.7","1.9","1.2","0.2","0.4",".442",".511","0.2","82","0","1.1"
"Ivan Rabb","MEM","PF,C","3.6","3.3","0.5","0.3","0.2",".567",".805","0.0","82","0","0.6"
"Tyus Jones","MIN","PG","3.6","1.2","2.1","0.1","0.8",".453",".852","0.4","79","17.2","0.5"
"Michael Carter-Williams","FA","PG","3.4","1.5","1.6","0.3","0.4",".369",".787","0.3","69","17.1","0.6"
"Miles Plumlee","ATL","PF,C ","3.4","3.1","0.6","0.3","0.3",".532",".525","0.0","82","0","1.1"
"Solomon Hill","NOR","SG,SF","3.4","1.9","1.0","0.2","0.5",".394",".798","0.6","82","0","0.6"
"Sam Dekker","WAS","SF,PF","3.4","1.9","0.5","0.1","0.2",".451",".606","0.3","82","0","0.3"
"Khyri Thomas","DET","PG","3.3","0.5","0.3","0.0","0.1",".414",".766","0.6","82","0","0.2"
"Bruce Brown","FA","SG","3.3","0.5","0.3","0.0","0.1",".414",".766","0.6","82","0","0.2"
"Ian Mahinmi","WAS","C","3.3","3.0","0.5","0.5","0.5",".561",".662","0.0","76","15.2","0.9"
"Wesley Johnson","WAS","SG,SF","3.3","2.2","0.4","0.5","0.6",".400",".731","0.5","76","13.2","0.4"
"Frank Mason III","SAC","PG","3.2","0.9","1.2","0.1","0.3",".385",".817","0.3","82","0","0.5"
"Daniel Theis","BOS","PF,C","3.1","2.7","0.6","0.4","0.3",".576",".754","0.2","82","0","0.5"
"Zaza Pachulia","DET","C","3.1","2.9","0.9","0.2","0.4",".524",".789","0.0","78","15.1","0.6"
"Dante Cunningham","SAS","SF,PF","3.0","1.9","0.4","0.3","0.3",".470",".625","0.5","77","20.2","0.3"
"Moe Wagner","FA","PF","2.8","1.1","0.3","0.1","0.1",".489",".695","0.3","82","0","0.3"
"Noah Vonleh","NYK","PF","2.8","3.4","0.4","0.3","0.2",".461",".625","0.1","82","0","0.5"
"Wesley Iwundu","ORL","SG,SF","2.8","1.8","0.8","0.2","0.4",".406",".722","0.1","82","0","0.4"
"Jonas Jerebko","GSW","SF,PF","2.6","1.9","0.5","0.2","0.2",".504",".787","0.4","82","0","0.3"
"Mitchell Robinson","NYK","C","2.6","2.2","0.4","0.6","0.2",".482",".676","0.1","82","0","0.4"
"Kyle Collinsworth","FA","SG","2.5","2.8","1.4","0.3","0.4",".379",".524","0.1","82","0","0.8"
"Raymond Felton","OKC","PG,SG","2.5","1.0","0.8","0.1","0.3",".430",".789","0.3","82","0","0.4"
"Ron Baker","FA","PG,SG","2.2","1.0","1.3","0.1","0.5",".354",".686","0.3","82","0","0.6"
"Matthew Dellavedova","CLE","PG,SG","2.2","0.7","1.4","0.0","0.2",".371",".868","0.3","82","0","0.5"
"Rodney McGruder","MIA","SG,SF","2.2","1.0","0.5","0.1","0.2",".412",".609","0.4","82","0","0.2"
"Terrance Ferguson","OKC","SG,SF","2.1","0.6","0.2","0.1","0.3",".436",".902","0.4","82","0","0.1"
"Emeka Okafor","FA","C","2.0","2.2","0.3","0.6","0.2",".422",".866","0.0","69","12.4","0.3"
"Caleb Swanigan","SAC","PF,C","1.9","1.9","0.5","0.1","0.2",".368",".682","0.0","82","0","0.5"
"Landry Shamet","LAC","G","1.9","0.6","1.1","0.1","0.2",".374",".391","0.3","75","12.5","0.5"
"De'Anthony Melton","PHO","SG,PG","1.9","0.2","0.5","0.0","0.1",".420",".750","0.3","82","0","0.2"
"Keita Bates-Diop","MIN","SF","1.5","0.4","0.1","0.0","0.1",".484",".743","0.2","82","0","0.1"
"Jake Layman","POR","PF,SF","1.5","0.6","0.3","0.1","0.2",".326",".725","0.2","82","0","0.2"
"Boban Marjanovic","PHI","C","1.5","1.1","0.1","0.1","0.1",".564",".800","0.0","82","0","0.2"
"Sterling Brown","MIL","SG","1.4","1.0","0.2","0.1","0.2",".402",".875","0.2","82","0","0.2"
"TJ Leaf","IND","PF","1.4","0.7","0.1","0.0","0.0",".523",".624","0.2","82","0","0.1"
"Sindarius Thornwell","LAC","SG","1.0","0.6","0.3","0.1","0.2",".457",".671","0.1","82","0","0.2"
"Christian Wood","MIL","PF,C","1.0","0.8","0.1","0.3","0.1",".696",".733","0.0","82","0","0.2"
"Damian Jones","GSW","C ","0.9","0.8","0.0","0.1","0.1",".500",".452","0.0","82","0","0.3"
"Langston Galloway","DET","PG,SG","0.7","0.2","0.1","0.0","0.1",".347",".795","0.2","82","0","0.1"
"Dwight Buycks","FA","PG,SG","0.7","0.1","0.2","0.0","0.1",".354",".871","0.0","82","0","0.2"
"Reggie Hearn","FA","G ","0.6","0.1","0.2","0.0","0.0",".500",".747","0.1","82","0","0.1"
"Zach Lofton","FA","G ","0.6","0.1","0.1","0.0","0.0",".345",".771","0.1","82","0","0.1"
"Keenan Evans","FA","G ","0.6","0.1","0.2","0.0","0.1",".400",".747","0.1","82","0","0.1"
"Glenn Robinson III","DET","SG,SF","0.6","0.3","0.1","0.0","0.1",".400",".723","0.1","82","0","0.0"
"DeVaughn Akoon-Purcell","FA","G","0.5","0.1","0.1","0.0","0.0",".582",".729","0.1","82","0","0.0"
"Donald Sloan","FA","PG,SG","0.5","0.1","0.2","0.0","0.0",".460",".758","0.1","82","0","0.1"
"Joe Johnson","FA","SG,SF,PF","0.5","0.2","0.1","0.0","0.0",".500",".829","0.1","82","0","0.0"
"Beno Udrih","FA","PG","0.5","0.1","0.4","0.0","0.0",".400",".940","0.0","82","0","0.1"
"Jameer Nelson","FA","PG","0.5","0.1","0.2","0.0","0.0",".500",".000","0.1","82","0","0.1"
"Xavier Silas","FA","SG","0.5","0.1","0.2","0.0","0.0",".485",".744","0.1","82","0","0.1"
"Rob Gray","FA","G","0.5","0.1","0.1","0.0","0.0",".649",".750","0.1","82","0","0.1"
"Willie Reed","FA","PF,C,SF ","0.4","0.5","0.0","0.0","0.0",".502",".566","0.0","82","0","0.0"
"Nene","HOU","PF,C","0.4","0.2","0.0","0.0","0.0",".642",".608","0.0","82","0","0.0"
"Roy Hibbert","FA","C","0.3","0.2","0.0","0.1","0.0",".542",".812","0.0","82","0","0.1"
"Monte Morris","DEN","PG","0.3","0.1","0.2","0.0","0.0",".471",".738","0.0","82","0","0.1"
"Alan Williams","BKN","PF,C ","0.3","0.1","0.0","0.0","0.0","1.000",".624","0.0","82","0","0.0"
"Johnny Hamilton","FA","C","0.3","0.3","0.0","0.0","0.0",".404",".675","0.0","82","0","0.1"
"Chris McCullough","FA","PF","0.3","0.2","0.0","0.0","0.0",".500",".627","0.0","82","0","0.0"
"Markel Brown","FA","SG","0.3","0.1","0.1","0.0","0.0",".335",".600","0.1","82","0","0.0"
"Richard Jefferson","FA","SG,SF,PF","0.3","0.1","0.1","0.0","0.0",".495",".707","0.0","82","0","0.0"
"Emanuel Terry","PHO","F ","0.3","0.2","0.0","0.0","0.0",".370",".697","0.0","82","0","0.0"
"Tyler Lydon","DEN","PF","0.3","0.2","0.0","0.0","0.0",".372",".694","0.0","82","0","0.0"
"Gary Clark","HOU","F","0.2","0.1","0.0","0.0","0.0",".480",".689","0.0","82","0","0.0"
"Juancho Hernangomez","DEN","SF,PF","0.2","0.1","0.0","0.0","0.0",".211",".760","0.0","82","0","0.0"
"Tarik Black","FA","PF,C","0.2","0.2","0.0","0.0","0.0",".656",".649","0.0","82","0","0.0"
"Brandan Wright","FA","PF,C","0.2","0.2","0.0","0.0","0.0",".509",".649","0.0","82","0","0.0"
"Rodions Kurucs","BKN","F","0.2","0.1","0.0","0.0","0.0",".329",".000","0.1","82","0","0.0"
"Malik Beasley","DEN","PG,SG","0.2","0.1","0.0","0.0","0.0",".302",".714","0.0","82","0","0.0"
"Matt Costello","FA","PF,SF ","0.1","0.0","0.0","0.0","0.0",".467",".692","0.0","82","0","0.0"
"Jarred Vanderbilt","DEN","F","0.1","0.0","0.0","0.0","0.0",".164",".000","0.0","82","0","0.0"
"Joffrey Lauvergne","FA","PF,C","0.1","0.1","0.0","0.0","0.0",".450",".643","0.0","82","0","0.0"
"Darrun Hilliard","FA","SG,SF","0.1","0.0","0.0","0.0","0.0",".304",".769","0.0","82","0","0.0"
"Drew Eubanks","SAS","F","0.0","0.1","0.0","0.0","0.0",".457",".692","0.0","82","0","0.0"
"Scotty Hopson","FA","SG","0.0","0.0","0.0","0.0","0.0",".444",".750","0.0","82","0","0.0"
"Brandon Paul","FA","SG","0.0","0.0","0.0","0.0","0.0",".467",".462","0.0","82","0","0.0"
"Aaron Harrison","FA","PG,SG","0.0","0.0","0.0","0.0","0.0",".381",".750","0.0","82","0","0.0"
"Codi Miller-McIntyre","FA","G","0.0","0.0","0.0","0.0","0.0",".421",".750","0.0","82","0","0.0"
"Maalik Wayns","FA","PG,SG","0.0","0.0","0.0","0.0","0.0",".421",".750","0.0","82","0","0.0"
"Chimezie Metu","SAS","F ","0.0","0.0","0.0","0.0","0.0",".875",".000","0.0","82","0","0.0"
"Maxi Kleber","DAL","PF","0.0","0.0","0.0","0.0","0.0",".600",".750","0.0","82","0","0.0"
"Ding Yanyuhang","FA","F","0.0","0.0","0.0","0.0","0.0",".421",".750","0.0","82","0","0.0"
"Ryan Broekhoff","DAL","F","0.0","0.0","0.0","0.0","0.0",".421",".750","0.0","82","0","0.0"
"Daryl Macon","DAL","G","0.0","0.0","0.0","0.0","0.0",".421",".750","0.0","82","0","0.0"
"Jeremy Evans","FA","SF,PF","0.0","0.0","0.0","0.0","0.0",".500",".667","0.0","82","0","0.0"
"Andrew White","FA","F","0.0","0.0","0.0","0.0","0.0",".417",".000","0.0","82","0","0.0"
"Thomas Robinson","FA","PF,C","0.0","0.0","0.0","0.0","0.0",".500",".333","0.0","82","0","0.0"
"Jaron Blossomgame","CLE","SF","0.0","0.0","0.0","0.0","0.0",".281",".000","0.0","82","0","0.0"
"Daniel Hamilton","ATL","SF,SG","0.0","0.0","0.0","0.0","0.0",".600",".667","0.0","82","0","0.0"
"Rashad Vaughn","FA","SG,SF","0.0","0.0","0.0","0.0","0.0",".583",".000","0.0","82","0","0.0"
"R.J. Hunter","BOS","SG ","0.0","0.0","0.0","0.0","0.0",".455",".667","0.0","82","0","0.0"
"Jaylen Adams","ATL","G","0.0","0.0","0.0","0.0","0.0",".400",".667","0.0","82","0","0.0"
"Thomas Welsh","DEN","C","0.0","0.0","0.0","0.0","0.0",".098",".000","0.0","82","0","0.0"
"Tyler Dorsey","MEM","PG,SG ","0.0","0.0","0.0","0.0","0.0",".353",".667","0.0","82","0","0.0"
"Salah Mejri","DAL","C","0.0","0.0","0.0","0.0","0.0",".625",".500","0.0","82","0","0.0"
"Anthony Brown","FA","SF","0.0","0.0","0.0","0.0","0.0",".667",".000","0.0","82","0","0.0"
"Jeff Withey","FA","C","0.0","0.0","0.0","0.0","0.0",".500",".750","0.0","82","0","0.0"
"Malcolm Delaney","FA","SG,PG","0.0","0.0","0.0","0.0","0.0",".214","1.000","0.0","82","0","0.0"
"Alex Poythress","ATL","SF,PF ","0.0","0.0","0.0","0.0","0.0",".375",".000","0.0","82","0","0.0"
"Ray Spalding","DAL","F","0.0","0.0","0.0","0.0","0.0","1.000",".000","0.0","82","0","0.0"
"Aaron Jackson","FA","G","0.0","0.1","0.0","0.0","0.0",".000",".857","0.0","82","0","0.0"
"Isaac Bonga","LAL","F ","0.0","0.0","0.0","0.0","0.0",".500","1.000","0.0","82","0","0.0"
"Sheldon Mac","FA","SG","0.0","0.0","0.0","0.0","0.0",".500","1.000","0.0","82","0","0.0"
"James Michael McAdoo","FA","PF,SF ","0.0","0.0","0.0","0.0","0.0",".500","1.000","0.0","82","0","0.0"
"Josh Magette","FA","PG","0.0","0.0","0.0","0.0","0.0",".000","1.000","0.0","82","0","0.0"
"Tiago Splitter","FA","C,PF","0.0","0.0","0.0","0.0","0.0",".500","1.000","0.0","82","0","0.0"
"Cole Aldrich","FA","C","0.0","0.0","0.0","0.0","0.0",".667",".000","0.0","82","0","0.0"
"Jonah Bolden","PHI","PF","0.0","0.0","0.0","0.0","0.0","1.000",".000","0.0","82","0","0.0"
""
""