player_name,player_id,proj_season_id
Aaron Gordon,203932,2018-19
Al Horford,201143,2018-19
Al-Farouq Aminu,202329,2018-19
Alec Burks,202692,2018-19
Alex Abrines,203518,2018-19
Alex Len,203458,2018-19
Alex Poythress,1627816,2018-19
Allen Crabbe,203459,2018-19
Amir Johnson,101161,2018-19
Andre Drummond,203083,2018-19
Andre Iguodala,2738,2018-19
Andrew Bogut,101106,2018-19
Andrew Harrison,1626150,2018-19
Andrew Wiggins,203952,2018-19
Anthony Davis,203076,2018-19
Anthony Tolliver,201229,2018-19
Aron Baynes,203382,2018-19
Austin Rivers,203085,2018-19
Avery Bradley,202340,2018-19
Ben McLemore,203463,2018-19
Bismack Biyombo,202687,2018-19
Blake Griffin,201933,2018-19
Boban Marjanovic,1626246,2018-19
Bobby Portis,1626171,2018-19
Bojan Bogdanovic,202711,2018-19
Bradley Beal,203078,2018-19
Brandon Ingram,1627742,2018-19
Brook Lopez,201572,2018-19
Bruno Caboclo,203998,2018-19
Bryn Forbes,1627854,2018-19
Buddy Hield,1627741,2018-19
CJ McCollum,203468,2018-19
CJ Miles,101139,2018-19
Cameron Payne,1626166,2018-19
Caris LeVert,1627747,2018-19
Carmelo Anthony,2546,2018-19
Chandler Parsons,202718,2018-19
Channing Frye,101112,2018-19
Cheick Diallo,1627767,2018-19
Chris Paul,101108,2018-19
Clint Capela,203991,2018-19
Cody Zeller,203469,2018-19
Corey Brewer,201147,2018-19
Cory Joseph,202709,2018-19
Courtney Lee,201584,2018-19
Cristiano Felicio,1626245,2018-19
D'Angelo Russell,1626156,2018-19
D.J. Augustin,201571,2018-19
Damian Jones,1627745,2018-19
Damian Lillard,203081,2018-19
Danilo Gallinari,201568,2018-19
Danny Green,201980,2018-19
Dante Cunningham,201967,2018-19
Dante Exum,203957,2018-19
Danuel House,1627863,2018-19
Dario Saric,203967,2018-19
Darren Collison,201954,2018-19
David Nwaba,1628021,2018-19
Davis Bertans,202722,2018-19
DeAndre Jordan,201599,2018-19
DeAndre' Bembry,1627761,2018-19
DeMar DeRozan,201942,2018-19
DeMarcus Cousins,202326,2018-19
DeMarre Carroll,201960,2018-19
Delon Wright,1626153,2018-19
Demetrius Jackson,1627743,2018-19
Dennis Schroder,203471,2018-19
Derrick Favors,202324,2018-19
Derrick Jones Jr.,1627884,2018-19
Derrick Rose,201565,2018-19
Devin Booker,1626164,2018-19
Devin Harris,2734,2018-19
Dewayne Dedmon,203473,2018-19
Deyonta Davis,1627738,2018-19
Dion Waiters,203079,2018-19
Dirk Nowitzki,1717,2018-19
Domantas Sabonis,1627734,2018-19
Dorian Finney-Smith,1627827,2018-19
Doug McDermott,203926,2018-19
Dragan Bender,1627733,2018-19
Draymond Green,203110,2018-19
Dwight Howard,2730,2018-19
Dwight Powell,203939,2018-19
Dwyane Wade,2548,2018-19
E'Twaun Moore,202734,2018-19
Ed Davis,202334,2018-19
Elfrid Payton,203901,2018-19
Emmanuel Mudiay,1626144,2018-19
Enes Kanter,202683,2018-19
Eric Bledsoe,202339,2018-19
Eric Gordon,201569,2018-19
Ersan Ilyasova,101141,2018-19
Evan Fournier,203095,2018-19
Evan Turner,202323,2018-19
Frank Kaminsky,1626163,2018-19
Fred VanVleet,1627832,2018-19
Garrett Temple,202066,2018-19
Gary Harris,203914,2018-19
Gary Payton II,1627780,2018-19
George Hill,201588,2018-19
Gerald Green,101123,2018-19
Giannis Antetokounmpo,203507,2018-19
Glenn Robinson III,203922,2018-19
Goran Dragic,201609,2018-19
Gorgui Dieng,203476,2018-19
Greg Monroe,202328,2018-19
Harrison Barnes,203084,2018-19
Hassan Whiteside,202355,2018-19
Henry Ellenson,1627740,2018-19
Ian Clark,203546,2018-19
Ian Mahinmi,101133,2018-19
Iman Shumpert,202697,2018-19
Isaiah Canaan,203477,2018-19
Isaiah Thomas,202738,2018-19
Ish Smith,202397,2018-19
Ivica Zubac,1627826,2018-19
J.J. Barea,200826,2018-19
JJ Redick,200755,2018-19
JR Smith,2747,2018-19
JaMychal Green,203210,2018-19
JaVale McGee,201580,2018-19
Jabari Parker,203953,2018-19
Jae Crowder,203109,2018-19
Jahlil Okafor,1626143,2018-19
Jake Layman,1627774,2018-19
Jakob Poeltl,1627751,2018-19
Jamal Crawford,2037,2018-19
Jamal Murray,1627750,2018-19
James Ennis III,203516,2018-19
James Harden,201935,2018-19
James Johnson,201949,2018-19
Jared Dudley,201162,2018-19
Jarell Martin,1626185,2018-19
Jason Smith,201160,2018-19
Jaylen Brown,1627759,2018-19
Jeff Green,201145,2018-19
Jeff Teague,201952,2018-19
Jerami Grant,203924,2018-19
Jeremy Lamb,203087,2018-19
Jerian Grant,1626170,2018-19
Jerryd Bayless,201573,2018-19
Jimmy Butler,202710,2018-19
Jodie Meeks,201975,2018-19
Joe Harris,203925,2018-19
Joe Ingles,204060,2018-19
Joel Embiid,203954,2018-19
John Henson,203089,2018-19
John Wall,202322,2018-19
Jonas Jerebko,201973,2018-19
Jonas Valanciunas,202685,2018-19
Jonathon Simmons,203613,2018-19
Jordan Clarkson,203903,2018-19
Jose Calderon,101181,2018-19
Josh Richardson,1626196,2018-19
Jrue Holiday,201950,2018-19
Juan Hernangomez,1627823,2018-19
Julius Randle,203944,2018-19
Justin Anderson,1626147,2018-19
Justin Holiday,203200,2018-19
Justise Winslow,1626159,2018-19
Jusuf Nurkic,203994,2018-19
Karl-Anthony Towns,1626157,2018-19
Kelly Olynyk,203482,2018-19
Kelly Oubre Jr.,1626162,2018-19
Kemba Walker,202689,2018-19
Kenneth Faried,202702,2018-19
Kent Bazemore,203145,2018-19
Kentavious Caldwell-Pope,203484,2018-19
Kevin Durant,201142,2018-19
Kevin Love,201567,2018-19
Kevon Looney,1626172,2018-19
Khris Middleton,203114,2018-19
Klay Thompson,202691,2018-19
Kosta Koufos,201585,2018-19
Kris Dunn,1627739,2018-19
Kyle Anderson,203937,2018-19
Kyle Korver,2594,2018-19
Kyle Lowry,200768,2018-19
Kyle O'Quinn,203124,2018-19
Kyrie Irving,202681,2018-19
LaMarcus Aldridge,200746,2018-19
Lance Stephenson,202362,2018-19
Lance Thomas,202498,2018-19
Langston Galloway,204038,2018-19
Larry Nance Jr.,1626204,2018-19
LeBron James,2544,2018-19
Lou Williams,101150,2018-19
Luc Mbah a Moute,201601,2018-19
Malachi Richardson,1627781,2018-19
Malcolm Brogdon,1627763,2018-19
Malik Beasley,1627736,2018-19
Marc Gasol,201188,2018-19
Marcin Gortat,101162,2018-19
Marco Belinelli,201158,2018-19
Marcus Morris,202694,2018-19
Marcus Smart,203935,2018-19
Mario Hezonja,1626209,2018-19
Markieff Morris,202693,2018-19
Marquese Chriss,1627737,2018-19
Marvin Williams,101107,2018-19
Mason Plumlee,203486,2018-19
Matthew Dellavedova,203521,2018-19
Maurice Harkless,203090,2018-19
Meyers Leonard,203086,2018-19
Michael Beasley,201563,2018-19
Michael Carter-Williams,203487,2018-19
Michael Kidd-Gilchrist,203077,2018-19
Mike Conley,201144,2018-19
Mike Muscala,203488,2018-19
Mike Scott,203118,2018-19
Miles Plumlee,203101,2018-19
Montrezl Harrell,1626149,2018-19
Myles Turner,1626167,2018-19
Nemanja Bjelica,202357,2018-19
Nene,2403,2018-19
Nerlens Noel,203457,2018-19
Nick Young,201156,2018-19
Nicolas Batum,201587,2018-19
Nik Stauskas,203917,2018-19
Nikola Jokic,203999,2018-19
Nikola Mirotic,202703,2018-19
Nikola Vucevic,202696,2018-19
Noah Vonleh,203943,2018-19
Norman Powell,1626181,2018-19
Omri Casspi,201956,2018-19
Otto Porter Jr.,203490,2018-19
PJ Tucker,200782,2018-19
Pascal Siakam,1627783,2018-19
Pat Connaughton,1626192,2018-19
Patrick Beverley,201976,2018-19
Patrick McCaw,1627775,2018-19
Patrick Patterson,202335,2018-19
Patty Mills,201988,2018-19
Pau Gasol,2200,2018-19
Paul George,202331,2018-19
Paul Millsap,200794,2018-19
Quincy Acy,203112,2018-19
Quinn Cook,1626188,2018-19
Rajon Rondo,200765,2018-19
Raul Neto,203526,2018-19
Raymond Felton,101109,2018-19
Reggie Bullock,203493,2018-19
Reggie Jackson,202704,2018-19
Richaun Holmes,1626158,2018-19
Ricky Rubio,201937,2018-19
Robert Covington,203496,2018-19
Robin Lopez,201577,2018-19
Rodney Hood,203918,2018-19
Rodney McGruder,203585,2018-19
Ron Baker,1627758,2018-19
Rondae Hollis-Jefferson,1626178,2018-19
Rudy Gay,200752,2018-19
Rudy Gobert,203497,2018-19
Russell Westbrook,201566,2018-19
Ryan Anderson,201583,2018-19
Salah Mejri,1626257,2018-19
Sam Dekker,1626155,2018-19
Serge Ibaka,201586,2018-19
Shabazz Napier,203894,2018-19
Shaun Livingston,2733,2018-19
Shelvin Mack,202714,2018-19
Skal Labissiere,1627746,2018-19
Solomon Hill,203524,2018-19
Spencer Dinwiddie,203915,2018-19
Stanley Johnson,1626169,2018-19
Stephen Curry,201939,2018-19
Steven Adams,203500,2018-19
T.J. McConnell,204456,2018-19
TJ Warren,203933,2018-19
Taj Gibson,201959,2018-19
Taurean Prince,1627752,2018-19
Terrence Ross,203082,2018-19
Terry Rozier,1626179,2018-19
Thabo Sefolosha,200757,2018-19
Thaddeus Young,201152,2018-19
Thon Maker,1627748,2018-19
Tim Frazier,204025,2018-19
Tim Hardaway Jr.,203501,2018-19
Timothe Luwawu-Cabarrot,1627789,2018-19
Tobias Harris,202699,2018-19
Tomas Satoransky,203107,2018-19
Tony Parker,2225,2018-19
Tony Snell,203503,2018-19
Treveon Graham,1626203,2018-19
Trevor Ariza,2772,2018-19
Trey Burke,203504,2018-19
Trey Lyles,1626168,2018-19
Tristan Thompson,202684,2018-19
Troy Daniels,203584,2018-19
Troy Williams,1627786,2018-19
Tyler Johnson,204020,2018-19
Tyler Ulis,1627755,2018-19
Tyler Zeller,203092,2018-19
Tyreke Evans,201936,2018-19
Tyson Chandler,2199,2018-19
Tyus Jones,1626145,2018-19
Victor Oladipo,203506,2018-19
Vince Carter,1713,2018-19
Wayne Ellington,201961,2018-19
Wayne Selden,1627782,2018-19
Wesley Johnson,202325,2018-19
Wesley Matthews,202083,2018-19
Will Barton,203115,2018-19
Willie Cauley-Stein,1626161,2018-19
Willy Hernangomez,1626195,2018-19
Wilson Chandler,201163,2018-19
Yogi Ferrell,1627812,2018-19
Zach LaVine,203897,2018-19
Zaza Pachulia,2585,2018-19
